nt_code,microbe_label,species_label,species_name,genus,family,phylum,ENZ001,ENZ002,ENZ003,ENZ004,ENZ005,ENZ006,ENZ007,ENZ008,ENZ009,ENZ010,ENZ011,ENZ012,ENZ013,ENZ014,ENZ015,ENZ016
NT5043,Bifidobacterium animalis,Bifidobacterium animalis,Bifidobacterium animalis subsp. lactis BL-04 (S1) DGCC2908,Bifidobacterium,,,,,,,,,,0.8,,,,,,,,
NT5044,Bifidobacterium animalis,Bifidobacterium animalis,Bifidobacterium animalis subsp. lactis BI-07 (S1),Bifidobacterium,,,,,,,,,0.8,0.8,0.8,0.6,,,,,,
NT5045,Ruminococcus bromii,Ruminococcus bromii,Ruminococcus bromii (S1) ATCC No: 27255,Ruminococcus,Ruminococcaceae,Firmicutes,,,,,,,0.6,,0.6,,,,0.35,,,0.8
NT5046,Ruminococcus gnavus,Ruminococcus gnavus,Ruminococcus gnavus (S1) ATCC No: 29149,Blautia,Lachnospiraceae,Firmicutes,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.35,0.35,0.8,0.35,
NT5047,Ruminococcus torques,Ruminococcus torques,Ruminococcus torques (S1) ATCC No: 27756,Blautia,Lachnospiraceae,Firmicutes,0.35,0.8,,,0.8,0.8,0.8,0.8,0.8,,0.6,0.35,0.35,0.8,0.35,
NT5048,Coprococcus comes,Coprococcus comes,Coprococcus comes (S1) ATCC No: 27758,Coprococcus,Lachnospiraceae,Firmicutes,,0.8,,,0.8,0.8,,0.8,0.8,0.8,0.35,0.35,0.35,0.8,0.35,
NT5049,Bacteroides dorei,Bacteroides dorei,Bacteroides dorei (S1) DSM 17855/JCM 13471 strain 175; 483217,Bacteroides,,,0.8,0.8,,,0.6,0.6,0.8,0.6,0.8,,,,,0.6,,0.8
NT5050,Bacteroides caccae,Bacteroides caccae,"Bacteroides caccae (S2) DSM 19024/ATCC 43185, CCUG 38735, CIP 104201, JCM 9498, NCTC 13051, VPI 3452A Type strain; 411901",Bacteroides,Bacteroidaceae,Bacteroidetes,0.8,0.8,,,0.8,0.8,0.8,0.6,0.8,,,,,0.8,0.35,0.8
NT5051,Bacteroides eggerthii,Bacteroides eggerthii,"Bacteroides eggerthii (S2) DSM 20697/ATCC 27754, NCTC 11155 Type strain; 483216",,,,,,,,0.8,0.8,0.8,0.8,0.8,,,,,0.8,0.35,0.8
NT5051,Bacteroides eggerthii,Bacteroides eggerthii,"Bacteroides eggerthii (S2) DSM 20697/ATCC 27754, NCTC 11155 Type strain; 483216",Bacteroides,,,0.8,0.8,,,,,,,,,,,,,,
NT5052,Bacteroides clarus,Bacteroides clarus,"Bacteroides clarus (S1) DSM 22519/JCM 16067 Type strain, A 20, YIT 12056; 762984",,,,,,,,0.8,0.8,0.8,,0.8,,,,,0.8,0.35,0.8
NT5052,Bacteroides clarus,Bacteroides clarus,"Bacteroides clarus (S1) DSM 22519/JCM 16067 Type strain, A 20, YIT 12056; 762984",Bacteroides,,,0.8,0.8,,,,,,0.6,,,,,,,,
NT5053,Bacteroides coprocola,Bacteroides coprocola,"Bacteroides coprocola (S1) DSM 17136/JCM 12979 M16, type strain; 470145",,,,,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,,0.8,0.35,0.8
NT5053,Bacteroides coprocola,Bacteroides coprocola,"Bacteroides coprocola (S1) DSM 17136/JCM 12979 M16, type strain; 470145",Bacteroides,,,0.8,,,,,,,,,,,,,,,
NT5054,Bacteroides ovatus,Bacteroides ovatus,"Bacteroides ovatus (S2) ATCC-8483 NCTC 11153, Type strain; 411476",Bacteroides,Bacteroidaceae,Bacteroidetes,0.8,0.8,,,0.8,0.8,1.0,0.8,1.0,,,,,0.8,0.35,0.8
NT5055,Bacteroides stercoris,Bacteroides stercoris,Bacteroides stercoris (S2) HM-1036 CC31F; 1073351,,,,,0.8,,,0.8,0.8,0.8,,0.8,,,,,0.8,0.35,0.8
NT5055,Bacteroides stercoris,Bacteroides stercoris,Bacteroides stercoris (S2) HM-1036 CC31F; 1073351,Bacteroides,,,0.8,,,,,,,0.6,,,,,,,,
NT5056,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S2) HM-720 Strain CL09T03C04; 99789,Bacteroides,,,0.8,0.8,,,0.6,0.6,0.8,0.6,0.8,,,,,0.6,,0.8
